Pair,Year,Cointegration Ratio
"['GOOG', 'GOOGL']",2023,0.3006
"['T', 'VZ']",2023,0.1411
"['MARA', 'RIOT']",2023,0.1328
"['F', 'PLTR']",2023,0.1265
"['F', 'SQ']",2023,0.1235
"['F', 'WBA']",2023,0.1213242648529706
"['F', 'TSLA']",2023,0.1212
"['F', 'PFE']",2023,0.121
"['T', 'WBA']",2023,0.121
"['F', 'GOOG']",2023,0.1207
"['F', 'RIVN']",2023,0.1203
"['F', 'PYPL']",2023,0.1195
"['F', 'JPM']",2023,0.11921192119211921
"['F', 'MARA']",2023,0.1192
"['F', 'RIOT']",2023,0.1189
"['BAC', 'WFC']",2023,0.1187
"['F', 'SHOP']",2023,0.1184
"['F', 'WFC']",2023,0.1179
"['F', 'SNAP']",2023,0.1169
"['F', 'T']",2023,0.1154
"['F', 'NEE']",2023,0.11514605842336935
"['F', 'XOM']",2023,0.1146
"['T', 'WFC']",2023,0.1139
"['BAC', 'C']",2023,0.1132
"['T', 'TSLA']",2023,0.11303391017305192
"['F', 'INTC']",2023,0.113
"['T', 'WMT']",2023,0.11293388016404922
"['F', 'GOOGL']",2023,0.1125
"['F', 'WMT']",2023,0.11125562781390695
"['F', 'MU']",2023,0.11071107110711072
"['T', 'UBER']",2023,0.1104
"['T', 'XOM']",2023,0.1089
"['F', 'UBER']",2023,0.1087
"['CCL', 'F']",2023,0.1083
"['F', 'VZ']",2023,0.108
"['BAC', 'JPM']",2023,0.1072
"['BAC', 'F']",2023,0.107
"['COIN', 'RIOT']",2023,0.1065
"['PLTR', 'PYPL']",2023,0.1065
"['PLTR', 'TSLA']",2023,0.1062
"['PLTR', 'RIOT']",2023,0.1055
"['PLTR', 'SQ']",2023,0.10501050105010501
"['PLTR', 'RIVN']",2023,0.105
"['PLTR', 'SNAP']",2023,0.1049
"['CCL', 'COIN']",2023,0.1042
"['CVX', 'XOM']",2023,0.1039
"['BAC', 'TSLA']",2023,0.10314125650260104
"['PLTR', 'SHOP']",2023,0.1029
"['BAC', 'XOM']",2023,0.1028
"['BABA', 'CCL']",2023,0.1026
"['CCL', 'RIOT']",2023,0.10171017101710171
"['C', 'WFC']",2023,0.1017
"['SNAP', 'SQ']",2023,0.1016
"['BAC', 'CVX']",2023,0.1016
"['CCL', 'PLTR']",2023,0.10074029611844738
"['PLTR', 'UBER']",2023,0.1002
"['CCL', 'SHOP']",2023,0.1001
"['SNAP', 'TSLA']",2023,0.10002000400080016
"['PFE', 'WBA']",2023,0.0999
"['BAC', 'PYPL']",2023,0.0996
"['BAC', 'PFE']",2023,0.0995
"['BAC', 'CCL']",2023,0.0994
"['CCL', 'RIVN']",2023,0.0992
"['CCL', 'MARA']",2023,0.0991
"['CCL', 'WFC']",2023,0.0991
"['COIN', 'MARA']",2023,0.099
"['CCL', 'WBA']",2023,0.09881976395279056
"['CCL', 'PYPL']",2023,0.0987
"['BAC', 'SQ']",2023,0.0986
"['BAC', 'WBA']",2023,0.0983
"['SNAP', 'T']",2023,0.0982
"['BAC', 'GOOGL']",2023,0.0981
"['BAC', 'CSCO']",2023,0.09800980098009801
"['INTC', 'MU']",2023,0.0977
"['PFE', 'PYPL']",2023,0.0976
"['GOOGL', 'SNAP']",2023,0.0976
"['BABA', 'WFC']",2023,0.0976
"['C', 'PYPL']",2023,0.09750975097509751
"['CCL', 'XOM']",2023,0.09740974097409741
"['BAC', 'SNAP']",2023,0.0974
"['CSCO', 'TSLA']",2023,0.09730703774151567
"['VZ', 'WMT']",2023,0.0973
"['BABA', 'BAC']",2023,0.0973
"['SNAP', 'UBER']",2023,0.0971
"['SNAP', 'WBA']",2023,0.0971
"['BABA', 'SQ']",2023,0.0969
"['GOOG', 'SNAP']",2023,0.0968
"['CCL', 'SNAP']",2023,0.0967
"['PFE', 'SHOP']",2023,0.0965
"['CCL', 'MU']",2023,0.0964
"['CCL', 'JPM']",2023,0.0963
"['BAC', 'PLTR']",2023,0.0961
"['BABA', 'COIN']",2023,0.0961
"['CCL', 'INTC']",2023,0.0961
"['BAC', 'NEE']",2023,0.096048024012006
"['SNAP', 'VZ']",2023,0.096
"['PLTR', 'WFC']",2023,0.09583833533413365
"['CSCO', 'F']",2023,0.0957
"['BAC', 'MARA']",2023,0.09560956095609562
"['GOOGL', 'RIVN']",2023,0.0954
"['CCL', 'GOOGL']",2023,0.0954
"['BAC', 'WMT']",2023,0.0952
"['C', 'JPM']",2023,0.0951
"['CSCO', 'NEE']",2023,0.0951
"['AAPL', 'PLTR']",2023,0.0951
